Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Recycled Plastic,Lipstick Tube,Cosmetics,6,3.32,3,82.5,1.54,2.07
Recycled Plastic,Paper Carry Bag,Retail,4,9.82,2,84.35,2.23,3.13
PP Plastic,Pill Blister Pack,Pharmaceuticals,3,44.21,1,57.66,3.49,2.76
Bagasse Fiber,Juice Carton,Food & Beverage,8,8.27,8,83.61,1.55,1.17
Cardboard,Laptop Packaging Box,Electronics,4,22.11,8,71.03,2.99,1.6
Aluminum,Chemical Storage Bottle,Chemicals,9,0.59,3,91.55,2.13,2.06
PP Plastic,Pill Blister Pack,Pharmaceuticals,10,11.76,3,66.66,1.87,4.15
Recycled Plastic,Perfume Bottle,Cosmetics,7,4.68,3,73.46,1.1,1.99
HDPE Plastic,Chemical Storage Bottle,Chemicals,5,1.81,2,68.86,2.86,4.36
Corrugated Cardboard,Power Bank Box,Electronics,7,0.57,9,88.14,2.75,1.75
Kraft Paper,Pet Food Bag,Pet Care,9,2.05,9,85.71,2.27,1.47
Recycled Plastic,Hair Oil Bottle,Personal Care,3,0.28,1,83.65,2.88,2.83
Kraft Paper,Snack Packaging,Food & Beverage,5,19.68,10,82.33,1.09,1.43
HDPE Plastic,Sauce Bottle,Food & Beverage,4,0.36,1,68.5,1.98,4.67
Kraft Paper,Shopping Bag,Retail,5,9.82,10,76.02,2.05,1.42
HDPE Plastic,Conditioner Bottle,Personal Care,10,0.27,1,75.99,3.48,4.76
Recycled Plastic,Dishwash Liquid Bottle,Household,10,0.59,3,88.19,1.34,2.62
Bioplastic (PLA),Wet Wipes Pack,Household,10,0.47,10,71.53,2.98,0.95
Tempered Glass,Perfume Bottle,Cosmetics,6,1.94,2,89.62,6.26,5.78
PET Plastic,Shampoo Bottle,Personal Care,4,0.26,3,74.03,2.85,4.22
Aluminum,Heavy Crate,Logistics,9,61.84,2,90.73,2.32,1.78
HDPE Plastic,Spray Bottle,Cosmetics,5,2.35,1,74.85,2.15,3.21
Aluminum,Heavy Crate,Logistics,7,71.67,3,92.68,2.27,1.63
Cardboard,Medical Device Box,Healthcare,5,26.61,10,79.91,1.22,1.52
Bioplastic (PLA),Tissue Box,Household,9,0.49,10,79.14,3.34,1.45
PET Plastic,Floor Cleaner Bottle,Household,10,0.68,3,78.43,1.96,3.86
Bamboo,Gift Box,Retail,8,22.24,8,63.17,4.83,0.96
PP Plastic,Lipstick Tube,Cosmetics,10,1.53,1,51.45,2.55,3.85
Cardboard,Cosmetic Packaging Box,Cosmetics,3,19.68,9,73.23,1.74,1.77
PET Plastic,Earphone Box,Electronics,7,0.1,2,76.47,3.28,3.15
Kraft Paper,Power Bank Box,Electronics,7,0.69,7,88.15,2.79,1.86
Aluminum,Sauce Bottle,Food & Beverage,8,0.54,1,91.01,2.49,1.87
PET Plastic,Medicine Bottle,Pharmaceuticals,7,0.37,2,57.58,1.52,4.64
Recycled Plastic,Yogurt Cup,Food & Beverage,9,0.18,1,72.99,2.68,2.06
Glass,Cooking Oil Bottle,Food & Beverage,3,1.9,2,84.92,5.37,4.83
Kraft Paper,Snack Packaging,Food & Beverage,8,20.53,10,88.32,2.01,1.69
Corrugated Cardboard,Pizza Box,Food & Beverage,6,2.86,10,89.32,1.86,0.97
Aluminum,Shampoo Bottle,Personal Care,10,0.62,3,89.2,2.78,1.9
PP Plastic,Coffee Pouch,Food & Beverage,3,1.07,3,59.1,2.36,3.47
Jute,Paper Carry Bag,Retail,6,5.18,9,59.79,3.12,0.62
PET Plastic,Shampoo Bottle,Personal Care,9,0.58,1,68.35,2.34,3.24
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,4,0.35,8,81.51,2.42,1.3
Bagasse Fiber,Shopping Bag,Retail,6,0.59,10,80.33,1.75,0.77
PET Plastic,Toilet Cleaner Bottle,Household,3,0.51,1,78.99,1.69,4.07
PET Plastic,Toilet Cleaner Bottle,Household,3,0.54,3,77.29,2.27,2.53
Recycled Plastic,Floor Cleaner Bottle,Household,10,1.13,1,80.32,2.89,2.32
PP Plastic,Pet Food Bag,Pet Care,8,5.62,2,59.16,2.52,3.34
HDPE Plastic,Dishwash Liquid Bottle,Household,3,0.73,2,75.82,2.27,5.45
Bagasse Fiber,Snack Packaging,Food & Beverage,5,18.91,10,74.17,2.02,0.67
Jute,Produce Bag,Agriculture,4,9.97,8,59.56,2.96,1.41
Recycled Plastic,Snack Packaging,Food & Beverage,4,13.41,1,79.41,1.1,1.88
PET Plastic,Body Lotion Bottle,Personal Care,7,0.7,3,61.92,2.17,4.21
Bagasse Fiber,Shopping Bag,Retail,3,7.12,9,80.7,2.53,0.76
Recycled Plastic,Wet Wipes Pack,Household,3,0.2,1,82.8,1.02,3.47
Molded Pulp,Laptop Packaging Box,Electronics,8,16.14,8,82.94,1.53,1.17
Recycled Plastic,Juice Carton,Food & Beverage,5,28.17,2,89.07,1.15,1.9
Kraft Paper,Book Packaging Wrap,Retail,9,2.32,9,83.59,2.33,0.83
Cardboard,Razor Packaging,Personal Care,9,0.1,8,88.89,2.22,1.57
Bioplastic (PLA),Cereal Box,Food & Beverage,4,0.69,10,71.66,3.06,1.2
Cardboard,Butter Tub,Food & Beverage,8,0.18,10,72.24,2.25,1.53
Glass,Spray Bottle,Cosmetics,7,2.12,1,87.66,6.13,4.37
Cardboard,Tissue Box,Household,5,0.39,7,87.85,2.8,0.58
Glass,Medicine Bottle,Pharmaceuticals,8,4.46,1,83.07,3.75,3.96
Recycled Plastic,Medical Device Box,Healthcare,4,26.04,1,82.36,2.79,2.23
Kraft Paper,Wet Wipes Pack,Household,6,0.7,10,79.65,1.8,1.96
PP Plastic,Sterile Wrap,Healthcare,8,7.19,2,63.09,3.19,4.1
Bagasse Fiber,Tea Pouch,Food & Beverage,6,0.46,10,82.85,2,0.47
Bioplastic (PLA),Lipstick Tube,Cosmetics,6,0.24,10,65.62,2.56,0.52
Aluminum,Water Bottle,Food & Beverage,7,2.54,3,90.84,2.97,2.06
Kraft Paper,Tea Pouch,Food & Beverage,3,0.46,7,85.02,2.93,1.94
HDPE Plastic,Toilet Cleaner Bottle,Household,9,0.7,2,77.94,2.73,3.81
Recycled Plastic,Toilet Cleaner Bottle,Household,5,0.77,3,84.59,2.14,1.64
Bagasse Fiber,Bread Bag,Food & Beverage,6,0.47,8,75.57,2.74,1.44
Recycled Plastic,Industrial Drum,Chemicals,10,89.01,1,79.37,2.46,1.63
Recycled Plastic,Bread Bag,Food & Beverage,10,0.53,2,77.31,2.76,3.35
Bagasse Fiber,Sugar Pouch,Food & Beverage,8,1.07,10,68.23,1.73,1.15
Recycled Plastic,Gift Box,Retail,9,2.31,3,72.13,1.54,3.07
Aluminum,Toothpaste Tube,Personal Care,10,0.29,2,85.53,2.41,2.17
Corrugated Cardboard,Cereal Box,Food & Beverage,4,0.33,9,77.57,2.49,1.83
Bioplastic (PLA),Milk Carton,Food & Beverage,8,1.23,8,68.44,3.31,1.41
PP Plastic,Pill Blister Pack,Pharmaceuticals,8,33.81,2,66.16,1.94,3.07
Recycled Plastic,Charger Adapter Box,Electronics,9,0.26,2,73.53,1.61,2.04
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,10,0.14,10,83.55,3.48,0.4
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,9,0.19,9,82.25,3.2,0.94
Bagasse Fiber,Soap Bar Wrapper,Personal Care,4,0.09,8,83.46,2.88,0.54
HDPE Plastic,Shampoo Bottle,Personal Care,4,0.53,1,79.09,3.04,5.32
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,9,0.24,9,64.12,3.56,0.46
Foam,Component Tray,Electronics,5,18.53,9,67.44,2.17,0.31
Corrugated Cardboard,Charger Adapter Box,Electronics,10,0.38,10,76.24,2.71,0.57
Bagasse Fiber,Tea Pouch,Food & Beverage,5,0.13,10,84.75,2.91,0.72
Glass,Hair Oil Bottle,Personal Care,10,0.45,2,73.19,5.18,5.57
PP Plastic,Snack Packaging,Food & Beverage,5,1.07,3,62.7,2.97,4.98
Cardboard,Laptop Packaging Box,Electronics,6,15.39,7,86.09,2.72,1.04
Recycled Plastic,Component Tray,Electronics,8,16.59,3,89.55,2.57,2.66
Recycled Plastic,Paper Carry Bag,Retail,7,9.94,3,81.66,2.81,3.37
Bagasse Fiber,Seedling Tray,Agriculture,8,11.9,8,74.5,3.01,0.94
Bioplastic (PLA),Wet Wipes Pack,Household,7,0.63,10,66.21,2.19,0.66
HDPE Plastic,Garbage Bag,Household,4,18.7,2,79.2,3.44,3.26
Bioplastic (PLA),Juice Carton,Food & Beverage,3,12.53,9,68.36,3.04,0.54
Kraft Paper,Toothpaste Tube,Personal Care,6,0.13,7,82.4,2.4,0.82
Steel,Chemical Storage Bottle,Chemicals,3,1.28,1,71.21,6.9,4.82
Bamboo,Cosmetic Packaging Box,Cosmetics,9,5.39,8,73.26,3.28,1.22
Recycled Plastic,Tissue Box,Household,9,0.33,2,70.1,2.96,1.84
HDPE Plastic,Syringe Packaging,Pharmaceuticals,7,16.84,3,53.01,1.8,3
Kraft Paper,Power Bank Box,Electronics,9,0.55,7,73.81,1.31,1.98
PP Plastic,Garbage Bag,Household,7,14.14,3,69.59,2.52,2.87
Recycled Plastic,Water Bottle,Food & Beverage,7,2.59,3,73.86,1.17,2.15
PP Plastic,Pet Food Bag,Pet Care,10,13.28,2,73.96,3.12,3.58
Bagasse Fiber,Pet Food Bag,Pet Care,4,13.27,10,73.83,2.63,0.88
Bioplastic (PLA),Dishwash Liquid Bottle,Household,8,1.06,9,77.34,2.67,1.05
Cardboard,Cosmetic Packaging Box,Cosmetics,8,14.12,10,72.8,2.03,0.86
Cardboard,Blister Pack,Retail,5,36.13,7,73.66,2.68,1.79
Bioplastic (PLA),Pet Food Bag,Pet Care,3,14,9,81.85,3.47,1.11
Bagasse Fiber,Seedling Tray,Agriculture,8,11.89,9,73.68,2.25,0.93
Molded Pulp,Phone Box,Electronics,3,0.87,8,81.62,2.92,1.46
Recycled Plastic,Power Bank Box,Electronics,4,0.51,1,88.15,1.87,3.15
Cardboard,Pizza Box,Food & Beverage,4,22.11,9,89.27,2.12,1.91
Bioplastic (PLA),Toothpaste Tube,Personal Care,8,0.26,8,71.96,3.56,0.66
Molded Pulp,Smartwatch Box,Electronics,3,0.39,10,66,2.53,1.39
Bagasse Fiber,Snack Packaging,Food & Beverage,5,12.54,10,68.17,3.08,0.74
Aluminum,Toothpaste Tube,Personal Care,8,0.22,1,90.33,1.74,2.11
Aluminum,Spray Bottle,Cosmetics,10,0.79,2,90.17,3.35,2.05
Bioplastic (PLA),Bubble Wrap,Logistics,4,8.11,8,74.75,3.56,0.44
Kraft Paper,Tea Pouch,Food & Beverage,8,0.43,9,86.61,1.65,1.13
Cardboard,Food Container,Food & Beverage,7,0.89,10,75,2.03,1.3
Bagasse Fiber,Juice Carton,Food & Beverage,3,9.45,9,72.17,2.04,0.88
Bagasse Fiber,Tea Pouch,Food & Beverage,8,0.21,8,72.9,2.02,0.57
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,9,34.17,2,78.96,1.37,2.72
HDPE Plastic,Sterile Wrap,Healthcare,9,2.78,3,66.77,2.83,3.64
Bioplastic (PLA),Lipstick Tube,Cosmetics,8,1.79,10,72.77,3.09,1.31
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,9,3.26,1,72.85,3.22,4.31
Corrugated Cardboard,Component Tray,Electronics,5,18.87,7,76.85,2.89,0.61
Recycled Plastic,Deodorant Stick,Personal Care,9,0.06,2,71.59,2.17,3.4
HDPE Plastic,Garbage Bag,Household,7,19.09,3,52.15,3,4.46
Bioplastic (PLA),Coffee Pouch,Food & Beverage,9,0.48,8,64.87,3.22,1.27
Kraft Paper,Sterile Wrap,Healthcare,5,2.01,7,87.49,1.34,1.92
Recycled Plastic,Medicine Bottle,Pharmaceuticals,10,2.93,3,71.26,2.42,2.23
Bioplastic (PLA),Butter Tub,Food & Beverage,6,0.64,10,82.68,3.09,1.12
Bioplastic (PLA),Shopping Bag,Retail,8,0.94,9,66.87,2.35,0.49
PP Plastic,Pallet Wrap,Logistics,3,6.8,1,64.31,3.03,3.93
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,5,0.09,10,68.26,2.19,1.13
Cardboard,Paper Carry Bag,Retail,4,7.57,8,81.97,2.77,1.3
Bagasse Fiber,Egg Carton,Food & Beverage,5,0.81,8,77.15,1.93,0.92
Jute,Fertilizer Bag,Agriculture,8,6.16,9,74.21,3.96,1.35
HDPE Plastic,Medicine Bottle,Pharmaceuticals,5,1.98,2,71.66,2.86,5.11
Kraft Paper,Gift Box,Retail,3,9.61,10,82.06,1.37,1.56
Recycled Plastic,Component Tray,Electronics,9,15.01,2,72.62,1.27,3.05
PP Plastic,Fertilizer Bag,Agriculture,10,7.88,2,71.84,3.17,4.66
Glass,Hair Oil Bottle,Personal Care,8,0.28,2,80.95,4.23,5.94
PP Plastic,Chemical Storage Bottle,Chemicals,6,3.48,3,72.95,1.98,4.18
Molded Pulp,Egg Carton,Food & Beverage,5,1.37,8,72.34,2.05,0.9
Bagasse Fiber,Sugar Pouch,Food & Beverage,5,3.51,9,79.09,2.43,0.53
Recycled Plastic,Toothpaste Tube,Personal Care,10,0.16,2,88.53,1.84,1.6
Glass,Honey Jar,Food & Beverage,4,0.26,2,78.53,3.91,4.87
PP Plastic,Yogurt Cup,Food & Beverage,8,0.36,2,64.17,2.24,4.73
Glass,Yogurt Cup,Food & Beverage,3,0.29,2,81.13,4.85,5.08
Recycled Plastic,Shampoo Bottle,Personal Care,10,0.66,1,74.03,1.33,1.83
PET Plastic,Blister Pack,Retail,5,10.53,1,51.66,2.98,5.19
Bioplastic (PLA),Butter Tub,Food & Beverage,6,0.13,9,63.69,2.84,0.49
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,10,0.24,8,82.37,3.66,1.42
HDPE Plastic,Sauce Bottle,Food & Beverage,4,0.7,1,59.59,2.99,4.7
Corrugated Cardboard,Heavy Crate,Logistics,4,62.73,8,89.42,2.68,1.86
HDPE Plastic,Fertilizer Bag,Agriculture,10,3.62,3,64.14,1.97,3.22
Kraft Paper,Soap Bar Wrapper,Personal Care,7,0.09,8,77.99,1.84,1.27
PET Plastic,Medicine Bottle,Pharmaceuticals,10,3.75,2,72.01,2.54,4.91
Cardboard,Soap Bar Wrapper,Personal Care,3,0.15,10,70.08,2,1.08
Kraft Paper,Shopping Bag,Retail,6,3.97,8,88.34,1.66,0.52
Aluminum,Medicine Bottle,Pharmaceuticals,9,4.67,1,91.02,3.45,2.45
Corrugated Cardboard,Cosmetic Packaging Box,Cosmetics,9,14.12,7,74.3,1.41,0.77
HDPE Plastic,Industrial Drum,Chemicals,4,86.93,3,57.75,1.7,2.97
Cardboard,Medical Device Box,Healthcare,6,25.68,10,83.32,1.58,1.3
Recycled Plastic,Coffee Pouch,Food & Beverage,6,1.03,2,79.69,1.97,1.82
HDPE Plastic,Fertilizer Bag,Agriculture,5,2.07,2,66.53,2.61,3.61
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,5,0.62,9,65.31,2.47,0.69
PP Plastic,Syringe Packaging,Pharmaceuticals,6,6.8,1,66.21,3.02,3.66
Steel,Beverage Can,Food & Beverage,6,3.16,1,82.87,5.35,6.52
Bioplastic (PLA),Cream Jar,Cosmetics,10,1.69,10,83.63,3.73,0.38
PP Plastic,Wet Wipes Pack,Household,7,0.45,1,71.6,3.05,3.11
Corrugated Cardboard,Tissue Box,Household,6,0.29,7,87.85,2.77,1.08
Corrugated Cardboard,Cosmetic Packaging Box,Cosmetics,3,20.25,8,74.4,1.02,1.57
Recycled Plastic,Face Wash Tube,Personal Care,6,0.25,2,79.3,2.94,2.86
HDPE Plastic,Floor Cleaner Bottle,Household,9,2.9,1,53.33,2.7,3.65
Recycled Plastic,Cooking Oil Bottle,Food & Beverage,7,1.16,1,70.78,2.43,2.56
Glass,Pharma Vial,Pharmaceuticals,9,2.04,2,80.39,4.42,4.66
Glass,Hair Oil Bottle,Personal Care,3,0.12,1,81.61,6.71,5.7
Glass,Honey Jar,Food & Beverage,6,0.87,2,91.81,5.75,4.03
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,4,0.13,9,78.06,2.65,0.98
PET Plastic,Dishwash Liquid Bottle,Household,4,0.52,3,53.64,3.46,3.64
Bioplastic (PLA),Razor Packaging,Personal Care,9,0.1,9,74.22,3.79,1.06
Cardboard,Laundry Detergent Box,Household,8,4.78,9,74.43,2.6,1.93
Recycled Plastic,Face Wash Tube,Personal Care,4,0.26,1,70.18,2.43,2.19
Bagasse Fiber,Produce Bag,Agriculture,4,3.68,9,82.07,2.6,1.48
Recycled Plastic,Garbage Bag,Household,5,27.89,2,76.63,2.4,3.39
Bioplastic (PLA),Sugar Pouch,Food & Beverage,7,0.71,10,69.29,3.59,1.18
Bioplastic (PLA),Toothpaste Tube,Personal Care,5,0.24,9,77.14,3.82,1.07
HDPE Plastic,Lipstick Tube,Cosmetics,3,2.84,3,55.58,2.08,4.83
Kraft Paper,Earphone Box,Electronics,5,0.08,8,87.88,1.33,0.82
PET Plastic,Hair Oil Bottle,Personal Care,6,0.44,1,75.82,2.4,5.25
Cardboard,Paper Carry Bag,Retail,10,1.66,9,89.41,2.77,1.97
PET Plastic,Cooking Oil Bottle,Food & Beverage,8,3.12,2,62.27,1.54,4.41
Bioplastic (PLA),Tissue Box,Household,10,0.14,10,84.75,3.74,0.71
Recycled Plastic,Shopping Bag,Retail,6,7.28,3,81.98,2.75,1.52
Steel,Heavy Crate,Logistics,8,77.11,1,88.82,9.28,4.43
PET Plastic,Conditioner Bottle,Personal Care,6,0.39,3,77.19,2,3.32
Cardboard,Gift Box,Retail,9,21.67,10,71.79,2.75,0.56
Molded Pulp,Instant Noodle Cup,Food & Beverage,7,0.42,10,84.64,3.17,0.86
Kraft Paper,Coffee Pouch,Food & Beverage,10,0.55,7,77.58,1.78,1.33
Recycled Plastic,Soap Bar Wrapper,Personal Care,7,0.11,3,82.04,1.13,3.45
Cardboard,Butter Tub,Food & Beverage,3,0.71,8,87.82,2,1.67
Recycled Plastic,Book Packaging Wrap,Retail,6,1.15,3,75.36,1.92,2.54
PET Plastic,Pallet Wrap,Logistics,7,9.68,3,58.42,2.51,2.67
Recycled Plastic,Beverage Can,Food & Beverage,3,4.12,2,71.88,2.9,2.74
PP Plastic,Food Container,Food & Beverage,8,19.22,1,50.46,2.43,4.86
HDPE Plastic,Garbage Bag,Household,10,10.4,1,57.31,2.65,3.95
Cardboard,Earphone Box,Electronics,5,0.09,8,71.15,1.08,0.54
Bamboo,Cosmetic Packaging Box,Cosmetics,7,12.4,10,70.08,4.32,1.25
Corrugated Cardboard,Smartwatch Box,Electronics,8,0.13,10,79.69,1.71,0.71
Glass,Cream Jar,Cosmetics,10,1.94,2,74.92,3.06,4.61
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,4,0.29,10,71.96,3.09,0.31
PP Plastic,Floor Cleaner Bottle,Household,9,1.46,2,60.78,2.53,4.99
Recycled Plastic,Book Packaging Wrap,Retail,3,2.58,1,79.97,2.27,1.56
Mushroom Packaging,Laptop Packaging Box,Electronics,4,6.11,9,79.73,2.63,1.32
Molded Pulp,Ice Cream Tub,Food & Beverage,4,0.81,10,74.49,2.08,1.18
Bioplastic (PLA),Paper Carry Bag,Retail,6,6.94,10,71.24,3.85,1.42
Recycled Plastic,Ice Cream Tub,Food & Beverage,10,0.6,1,76.95,2.47,1.58
Kraft Paper,Smartwatch Box,Electronics,6,0.14,7,78.51,1.14,1.5
HDPE Plastic,Body Lotion Bottle,Personal Care,5,0.78,3,75.27,3.01,3
PP Plastic,Lipstick Tube,Cosmetics,10,1.53,3,56.01,2.31,4.66
Corrugated Cardboard,Smartwatch Box,Electronics,3,0.23,9,78.59,2.26,0.57
Recycled Plastic,Floor Cleaner Bottle,Household,4,2.03,3,72.93,1.77,2.81
Bagasse Fiber,Soap Bar Wrapper,Personal Care,7,0.14,10,65.37,2.81,1.08
PET Plastic,Hair Oil Bottle,Personal Care,8,0.11,3,56.5,1.6,3.38
HDPE Plastic,Shampoo Bottle,Personal Care,4,0.47,3,51.08,2.43,4.13
Bioplastic (PLA),Cereal Box,Food & Beverage,4,0.95,8,75.38,2.9,0.49
Cardboard,Power Bank Box,Electronics,6,0.23,10,72.73,2.38,1.14
Bagasse Fiber,Snack Packaging,Food & Beverage,7,2.78,10,67.08,3.42,1.38
Bagasse Fiber,Pizza Box,Food & Beverage,5,26.71,9,81.53,3.47,0.72
Glass,Spray Bottle,Cosmetics,3,0.47,2,90.5,5.22,4.35
Kraft Paper,Power Bank Box,Electronics,4,0.63,7,82.22,2.84,1.9
HDPE Plastic,Pallet Wrap,Logistics,5,1.55,2,55.12,2.24,3.1
HDPE Plastic,Hair Oil Bottle,Personal Care,8,0.13,3,76.64,2.3,4.37
Cardboard,Tissue Box,Household,8,0.18,9,76.32,2.75,1.65
Mushroom Packaging,Pizza Box,Food & Beverage,6,22.88,10,63.6,2.86,1.38
Molded Pulp,Instant Noodle Cup,Food & Beverage,8,0.23,9,66.84,2.78,0.8
Tempered Glass,Pharma Vial,Pharmaceuticals,3,1.14,2,83.54,6.25,4.12
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,3,0.09,10,84.67,2.75,0.86
Cardboard,Power Bank Box,Electronics,4,0.49,7,73.83,2.34,0.63
HDPE Plastic,Spray Bottle,Cosmetics,10,3.47,3,57.2,3.29,4.13
Corrugated Cardboard,Smartwatch Box,Electronics,6,0.49,10,76.69,1.51,1.97
Bioplastic (PLA),Yogurt Cup,Food & Beverage,10,0.22,9,63.4,3.41,1.4
Molded Pulp,Egg Carton,Food & Beverage,6,1.25,9,71.62,2.51,0.83
PP Plastic,Laundry Detergent Box,Household,7,2.27,1,69.27,1.93,3.95
Cardboard,Smartwatch Box,Electronics,8,0.11,7,82.33,2.99,1.06
PET Plastic,Pharma Vial,Pharmaceuticals,7,0.23,2,62.75,2.68,3.33
Corrugated Cardboard,Component Tray,Electronics,10,2.57,10,85.99,1.99,0.75
Bioplastic (PLA),Shampoo Bottle,Personal Care,6,0.29,8,61.54,3.77,0.92
Bioplastic (PLA),Book Packaging Wrap,Retail,6,0.79,8,77.69,2.98,0.82
Glass,Water Bottle,Food & Beverage,5,3.56,1,73.57,6.05,4.85
Cardboard,Instant Noodle Cup,Food & Beverage,4,0.12,9,73.14,1.13,0.59
Bagasse Fiber,Soap Bar Wrapper,Personal Care,7,0.09,9,69.16,2.01,1.29
Recycled Plastic,Honey Jar,Food & Beverage,10,1.05,1,89.34,1.25,2.51
PP Plastic,Dishwash Liquid Bottle,Household,8,0.96,3,65.93,2.67,3.23
Bamboo,Gift Box,Retail,6,22.11,9,55.47,3.66,1.09
Corrugated Cardboard,Phone Box,Electronics,5,16.46,7,72.77,1.79,1.55
PET Plastic,Conditioner Bottle,Personal Care,8,0.49,2,74.15,2.04,4.98
PET Plastic,Toilet Cleaner Bottle,Household,6,0.59,1,64.96,2.38,3.92
Kraft Paper,Tissue Box,Household,3,0.49,7,85.71,2.43,1.77
PET Plastic,Hair Oil Bottle,Personal Care,5,0.36,3,50.95,2.85,3.7
Kraft Paper,Cosmetic Packaging Box,Cosmetics,3,9.14,7,76.47,2.68,0.66
Bioplastic (PLA),Wet Wipes Pack,Household,4,0.44,8,74.2,2.81,1
Kraft Paper,Shipping Box,Logistics,5,22,7,76.89,1.02,0.97
PP Plastic,Ice Cream Tub,Food & Beverage,5,0.49,2,62.93,2.55,2.8
HDPE Plastic,Floor Cleaner Bottle,Household,8,1.52,3,50.17,2.85,3.97
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,6,3.17,9,76.96,3.1,1.14
Recycled Plastic,Body Lotion Bottle,Personal Care,9,0.45,2,88.57,2.61,1.83
Glass,Sauce Bottle,Food & Beverage,4,0.53,2,77.74,5.69,5.53
Aluminum,Coffee Pouch,Food & Beverage,7,0.82,3,89.22,2.39,1.55
PET Plastic,Razor Packaging,Personal Care,5,0.07,2,53.66,1.88,3.13
Aluminum,Cooking Oil Bottle,Food & Beverage,8,4.19,1,92.75,2.81,1.73
Glass,Perfume Bottle,Cosmetics,6,1.35,2,74.65,4.02,3.91
Kraft Paper,Razor Packaging,Personal Care,10,0.12,8,76.78,2.14,1.17
Aluminum,Heavy Crate,Logistics,9,55.5,2,85.21,2.29,2.39
Jute,Fertilizer Bag,Agriculture,6,0.18,8,70.77,3.94,0.53
Bioplastic (PLA),Water Bottle,Food & Beverage,8,2.99,10,67.86,3.61,1.45
Aluminum,Coffee Pouch,Food & Beverage,9,0.44,2,86.05,3.42,2.35
Bioplastic (PLA),Pill Blister Pack,Pharmaceuticals,8,49.66,9,63.41,2.66,0.64
Bioplastic (PLA),Pet Food Bag,Pet Care,10,13.82,10,82.39,2.59,0.43
HDPE Plastic,Shampoo Bottle,Personal Care,9,0.74,1,51.39,2.71,3.01
Mushroom Packaging,Food Container,Food & Beverage,6,13.42,9,84.79,3.08,1.48
Bagasse Fiber,Pet Food Bag,Pet Care,4,14.31,8,72.92,3.44,0.86
Glass,Body Lotion Bottle,Personal Care,4,0.46,1,81.33,6.17,5.51
Aluminum,Chocolate Wrapper,Food & Beverage,8,0.07,1,90.11,2.95,1.73
Kraft Paper,Soap Bar Wrapper,Personal Care,9,0.16,7,89.66,2.07,1.25
Kraft Paper,Fertilizer Bag,Agriculture,3,1.58,8,77.29,2.18,1.53
PP Plastic,Bread Bag,Food & Beverage,9,0.97,3,50.26,2.08,2.58
Bioplastic (PLA),Juice Carton,Food & Beverage,10,29.44,8,62.98,2.07,0.36
HDPE Plastic,Garbage Bag,Household,8,8.42,2,54.17,2.1,4.77
PET Plastic,Razor Packaging,Personal Care,3,0.06,1,61.24,2,2.84
HDPE Plastic,Bubble Wrap,Logistics,9,7.4,2,68.2,2.97,5.42
Cardboard,Yogurt Cup,Food & Beverage,7,0.23,9,74.65,2.31,1.2
Kraft Paper,Sterile Wrap,Healthcare,5,8.48,9,70.19,2.12,1.97
PET Plastic,Dishwash Liquid Bottle,Household,7,1.37,2,54.16,2.39,3.43
Kraft Paper,Shopping Bag,Retail,10,6.89,7,80.95,2.19,0.88
PP Plastic,Coffee Pouch,Food & Beverage,7,0.47,3,67,2.23,2.87
Recycled Plastic,Toothpaste Tube,Personal Care,8,0.23,1,89.8,1.06,2.39
Bioplastic (PLA),Dishwash Liquid Bottle,Household,9,1.1,9,84.29,3.52,1.32
Kraft Paper,Pizza Box,Food & Beverage,4,4.25,8,76.49,2.47,1.21
Recycled Plastic,Water Bottle,Food & Beverage,8,1.68,2,81.35,2.38,3.1
Cardboard,Book Packaging Wrap,Retail,4,0.95,8,74.89,1.45,1.46
Bioplastic (PLA),Paper Carry Bag,Retail,5,6.16,10,70.63,3.01,1.08
Aluminum,Coffee Pouch,Food & Beverage,8,1.14,2,88.34,2.11,1.91
Aluminum,Chemical Storage Bottle,Chemicals,9,0.55,1,93.24,1.94,1.87
Foam,Bubble Wrap,Logistics,6,1.85,10,71.53,2.02,0.55
PP Plastic,Ice Cream Tub,Food & Beverage,5,0.55,1,56.86,1.7,3.09
Cardboard,Deodorant Stick,Personal Care,3,0.14,10,82.06,2.97,1.91
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,4,17.03,10,62.03,3.03,1.04
Kraft Paper,Fertilizer Bag,Agriculture,9,2.83,7,79.83,2.03,1.68
Bagasse Fiber,Pizza Box,Food & Beverage,5,6.41,8,66.19,1.51,1.1
Bioplastic (PLA),Tissue Box,Household,9,0.21,9,64.82,2.67,1.21
