material_type,product_type,industry,strength,weight_capacity,biodegradability_score,recyclability,cost,co2_emission
Aluminum,Appliance Carton,Home Appliances,10,27.87,2,97.8,4.02,3.442
PLA Bioplastic,Assembly Kit Box,Furniture,7,17.14,8,65.74,2.75,1.255
Glass,Assembly Kit Box,Furniture,9,27.84,2,96.51,3.97,1.746
Aluminum,Cement Liner Bag,Construction,9,33.83,2,99.97,4.61,3.528
Glass,Fabric Wrap,Textiles,9,31.47,1,96.28,5.97,1.747
Glass,Fabric Wrap,Textiles,10,32.72,1,97.75,2.53,1.879
Mushroom Packaging,Garment Bag,Textiles,6,12.38,9,61.91,1.83,0.457
Mushroom Packaging,Garment Bag,Textiles,5,17.16,9,73.97,2.11,0.321
Aluminum,Mobile Box,Electronics,9,28.02,2,97.71,3.77,3.524
Glass,Battery Packaging,Automotive,10,22.06,2,99.46,3.64,1.754
Kraft Paper,Oil Container,Automotive,7,6.13,10,86.06,1.39,0.709
PLA Bioplastic,Takeaway Container,Food Packaging,6,10.38,6,67.45,2.43,1.109
Mushroom Packaging,Tile Packaging,Construction,6,16.27,10,60.35,2.6,0.449
Recycled PET,Tile Packaging,Construction,10,20.3,2,90.52,2.27,2.109
Bagasse Fiber,Foam Insert Package,Home Appliances,7,10.84,8,82.54,2.2,0.575
Kraft Paper,Electronic Blister Pack,Electronics,6,12.36,8,93.96,1.45,0.452
Corrugated Cardboard,Perfume Bottle,Cosmetics,6,24.5,9,90.68,1.73,0.829
PLA Bioplastic,Tablet Blister Pack,Healthcare,6,11.71,6,57.27,1.0,1.193
Glass,Cement Liner Bag,Construction,9,30.82,1,97.03,4.55,1.756
Corrugated Cardboard,Assembly Kit Box,Furniture,6,30.23,7,89.35,0.58,0.77
Corrugated Cardboard,Appliance Carton,Home Appliances,7,25.46,7,81.18,0.89,0.865
Kraft Paper,Makeup Box,Cosmetics,7,10.9,10,94.06,0.37,0.542
Kraft Paper,Takeaway Container,Food Packaging,6,7.19,8,86.32,1.02,0.563
Kraft Paper,Takeaway Container,Food Packaging,5,11.3,8,94.31,1.12,0.524
Recycled PET,Foam Insert Package,Home Appliances,10,19.03,2,94.31,1.79,2.106
Kraft Paper,Makeup Box,Cosmetics,7,13.87,10,88.59,0.76,0.693
Mushroom Packaging,Cement Liner Bag,Construction,5,15.98,10,64.31,2.25,0.384
Mushroom Packaging,TV Carton,Electronics,6,11.55,10,69.37,2.05,0.434
Corrugated Cardboard,Toy Box,Toys,6,27.09,7,84.69,0.68,0.783
Kraft Paper,Spare Parts Box,Automotive,5,7.33,9,92.41,0.8,0.622
Bagasse Fiber,Makeup Box,Cosmetics,7,7.75,8,83.26,2.08,0.476
Recycled PET,Beverage Bottle,Food Packaging,10,15.21,2,93.19,1.68,2.084
Bagasse Fiber,Laptop Box,Electronics,5,14.47,9,71.13,0.94,0.492
Aluminum,Cosmetic Tube,Cosmetics,8,28.47,2,95.46,3.56,3.548
PLA Bioplastic,Medical Container,Healthcare,7,8.82,7,68.39,2.88,1.273
PLA Bioplastic,Toy Box,Toys,8,16.59,7,55.84,2.34,1.112
Glass,Medical Container,Healthcare,10,31.02,2,98.7,4.71,1.815
Bagasse Fiber,Protective Cushioning Pack,Furniture,7,8.22,8,75.46,1.42,0.417
Bagasse Fiber,Laptop Box,Electronics,6,14.17,8,73.76,1.81,0.484
Corrugated Cardboard,Toy Box,Toys,7,24.03,8,91.12,0.52,0.802
Kraft Paper,Cream Jar,Cosmetics,5,13.33,8,89.85,1.06,0.665
Aluminum,Medical Container,Healthcare,9,33.26,1,95.25,5.24,3.467
Aluminum,Oil Container,Automotive,8,26.28,2,96.66,4.34,3.52
Mushroom Packaging,Oil Container,Automotive,7,16.89,9,76.23,3.21,0.375
PLA Bioplastic,Protective Box,Home Appliances,9,15.29,6,56.64,2.45,1.182
Bagasse Fiber,Clothing Box,Textiles,5,14.0,8,73.13,1.0,0.573
Kraft Paper,Garment Bag,Textiles,4,13.52,8,87.59,1.38,0.654
Aluminum,Oil Container,Automotive,9,25.61,1,99.21,2.7,3.543
PLA Bioplastic,Electronic Blister Pack,Electronics,6,18.66,6,60.98,2.07,1.166
Corrugated Cardboard,Tablet Blister Pack,Healthcare,7,34.93,8,82.13,0.71,0.928
Kraft Paper,Garment Bag,Textiles,7,6.54,9,85.83,0.31,0.62
Mushroom Packaging,Protective Cushioning Pack,Furniture,7,10.57,10,70.08,2.17,0.48
Corrugated Cardboard,Spare Parts Box,Automotive,8,14.29,9,80.39,0.94,0.793
Corrugated Cardboard,Beverage Bottle,Food Packaging,8,25.88,7,88.26,1.23,0.796
Aluminum,Pizza Box,Food Packaging,8,33.87,2,97.44,4.23,3.552
Recycled PET,Spare Parts Box,Automotive,8,25.16,4,94.19,1.61,2.035
PLA Bioplastic,Furniture Carton,Furniture,7,12.61,8,60.69,1.25,1.188
Kraft Paper,Perfume Bottle,Cosmetics,4,6.89,10,90.83,0.97,0.651
Corrugated Cardboard,Protective Cushioning Pack,Furniture,8,18.88,9,86.47,1.01,0.907
PLA Bioplastic,Cream Jar,Cosmetics,9,10.07,8,59.02,2.46,1.162
Corrugated Cardboard,Protective Cushioning Pack,Furniture,7,10.42,9,82.32,1.48,0.854
Mushroom Packaging,Food Tray,Food Packaging,5,14.96,9,62.81,3.14,0.308
Bagasse Fiber,Syringe Pack,Healthcare,7,6.7,9,70.65,1.98,0.502
Mushroom Packaging,Food Tray,Food Packaging,5,11.93,9,71.44,2.19,0.438
Bagasse Fiber,Takeaway Container,Food Packaging,6,8.2,9,76.71,1.94,0.448
Mushroom Packaging,Food Tray,Food Packaging,7,14.39,10,73.11,1.83,0.408
Mushroom Packaging,Spare Parts Box,Automotive,7,17.36,10,60.53,1.9,0.496
Corrugated Cardboard,Furniture Carton,Furniture,8,24.01,7,82.71,1.68,0.833
Bagasse Fiber,Protective Box,Home Appliances,5,7.32,9,77.03,1.56,0.499
Recycled PET,Foam Insert Package,Home Appliances,9,25.06,3,86.1,3.5,2.061
Recycled PET,Mobile Box,Electronics,8,21.13,4,86.91,3.56,2.222
Kraft Paper,Medical Container,Healthcare,5,9.68,10,92.12,1.33,0.615
Mushroom Packaging,Furniture Carton,Furniture,6,17.11,10,73.24,3.31,0.47
PLA Bioplastic,Garment Bag,Textiles,7,16.53,8,64.23,1.86,1.136
PLA Bioplastic,Electronic Blister Pack,Electronics,9,19.99,6,61.93,1.64,1.166
Recycled PET,Clothing Box,Textiles,9,26.14,2,91.81,2.96,2.09
Corrugated Cardboard,Medicine Box,Healthcare,8,16.44,8,88.81,1.06,0.742
Kraft Paper,Appliance Carton,Home Appliances,6,6.59,8,88.78,1.02,0.657
Corrugated Cardboard,Cream Jar,Cosmetics,7,18.75,9,83.66,1.56,0.815
Aluminum,Protective Cushioning Pack,Furniture,9,24.9,2,98.84,4.57,3.477
Recycled PET,Furniture Carton,Furniture,10,22.82,3,87.14,2.44,2.119
Recycled PET,Makeup Box,Cosmetics,9,23.41,4,87.43,1.92,1.965
PLA Bioplastic,Laptop Box,Electronics,7,14.76,6,62.74,1.86,1.21
Aluminum,Tile Packaging,Construction,10,22.88,1,95.79,2.93,3.429
Aluminum,Laptop Box,Electronics,8,22.67,1,95.29,5.17,3.557
Mushroom Packaging,Oil Container,Automotive,6,8.98,10,65.29,2.0,0.406
Bagasse Fiber,Hardware Container,Construction,6,9.65,8,83.39,1.06,0.551
Mushroom Packaging,Makeup Box,Cosmetics,7,17.17,9,79.96,1.26,0.376
PLA Bioplastic,Food Tray,Food Packaging,7,19.75,7,69.88,2.29,1.184
PLA Bioplastic,Foam Insert Package,Home Appliances,6,19.46,7,58.46,2.27,1.198
Kraft Paper,Spare Parts Box,Automotive,7,12.99,10,90.83,0.71,0.578
Recycled PET,Medicine Box,Healthcare,9,28.85,4,88.63,1.68,2.055
Kraft Paper,Appliance Carton,Home Appliances,6,6.28,8,89.66,0.79,0.613
Corrugated Cardboard,Electronic Blister Pack,Electronics,7,11.85,9,82.81,0.97,0.861
Kraft Paper,Cream Jar,Cosmetics,7,11.08,10,92.81,1.11,0.594
Kraft Paper,Medical Container,Healthcare,6,8.57,8,94.64,1.03,0.609
Aluminum,Garment Bag,Textiles,8,33.8,1,98.69,3.59,3.457
Mushroom Packaging,Oil Container,Automotive,7,17.74,10,66.97,1.7,0.404
Bagasse Fiber,Board Game Box,Toys,5,12.22,10,70.98,2.48,0.54
Aluminum,Spare Parts Box,Automotive,10,32.48,2,97.39,3.86,3.447
Corrugated Cardboard,Laptop Box,Electronics,6,26.35,7,85.21,1.53,0.698
Mushroom Packaging,Foam Insert Package,Home Appliances,5,13.43,9,63.25,1.52,0.432
Bagasse Fiber,Clothing Box,Textiles,5,12.65,8,78.79,1.63,0.538
Bagasse Fiber,Furniture Carton,Furniture,6,6.46,10,83.27,0.85,0.461
Bagasse Fiber,Tablet Blister Pack,Healthcare,7,10.92,8,79.58,1.66,0.454
Aluminum,Spare Parts Box,Automotive,8,26.99,2,99.17,5.39,3.438
Corrugated Cardboard,Cosmetic Tube,Cosmetics,9,21.74,9,83.27,1.08,0.76
Recycled PET,Garment Bag,Textiles,10,20.93,3,87.28,1.6,2.178
Corrugated Cardboard,Protective Box,Home Appliances,7,22.22,7,91.75,0.55,0.82
Bagasse Fiber,Toy Box,Toys,7,11.63,8,74.79,1.46,0.457
Aluminum,Furniture Carton,Furniture,9,34.8,1,97.01,2.98,3.494
Mushroom Packaging,Cream Jar,Cosmetics,6,12.88,9,72.88,1.25,0.399
PLA Bioplastic,Tablet Blister Pack,Healthcare,6,19.11,8,50.27,2.51,1.184
Glass,TV Carton,Electronics,9,36.58,1,96.26,3.83,1.836
Recycled PET,Takeaway Container,Food Packaging,8,17.24,2,94.2,2.22,2.145
Recycled PET,Clothing Box,Textiles,10,25.27,4,86.17,3.75,2.07
Glass,Protective Box,Home Appliances,10,33.06,2,96.42,2.46,1.842
Glass,Action Figure Pack,Toys,9,22.48,2,99.41,5.82,1.755
PLA Bioplastic,Takeaway Container,Food Packaging,8,9.82,7,56.44,1.63,1.09
Kraft Paper,Perfume Bottle,Cosmetics,5,12.09,9,86.64,1.37,0.587
Bagasse Fiber,Takeaway Container,Food Packaging,6,8.57,8,78.14,1.83,0.42
Mushroom Packaging,Cosmetic Tube,Cosmetics,5,12.7,10,63.15,3.1,0.335
Mushroom Packaging,Toy Box,Toys,7,11.41,10,71.46,3.46,0.4
Aluminum,Tablet Blister Pack,Healthcare,10,23.47,2,95.11,3.37,3.511
Bagasse Fiber,Clothing Box,Textiles,5,9.39,10,84.56,2.43,0.534
Corrugated Cardboard,Appliance Carton,Home Appliances,9,30.91,7,89.31,1.08,0.839
Kraft Paper,Action Figure Pack,Toys,5,6.84,10,94.54,0.76,0.617
Kraft Paper,Electronic Blister Pack,Electronics,7,7.12,8,85.94,0.71,0.684
Mushroom Packaging,Board Game Box,Toys,6,9.81,10,73.74,2.45,0.389
Corrugated Cardboard,Laptop Box,Electronics,8,23.82,8,84.68,0.73,0.77
Aluminum,Beverage Bottle,Food Packaging,8,20.4,1,96.17,4.16,3.547
PLA Bioplastic,Action Figure Pack,Toys,7,18.63,6,66.89,2.08,1.191
Aluminum,Appliance Carton,Home Appliances,9,31.8,2,99.47,4.79,3.548
PLA Bioplastic,Electronic Blister Pack,Electronics,6,9.04,7,57.49,2.67,1.164
Kraft Paper,Hardware Container,Construction,6,5.06,10,88.92,0.83,0.567
Glass,Cosmetic Tube,Cosmetics,10,21.75,2,98.94,3.21,1.835
PLA Bioplastic,Hardware Container,Construction,7,10.5,6,61.93,1.52,1.224
Glass,Pizza Box,Food Packaging,10,29.78,1,98.73,2.78,1.905
Glass,Laptop Box,Electronics,10,35.08,2,96.53,2.23,1.798
Corrugated Cardboard,Makeup Box,Cosmetics,7,18.72,9,91.02,1.01,0.869
Aluminum,Hardware Container,Construction,10,33.62,1,95.93,3.31,3.497
Bagasse Fiber,Mobile Box,Electronics,6,7.09,10,74.83,2.44,0.403
Aluminum,Action Figure Pack,Toys,8,26.66,1,97.32,4.17,3.514
Glass,Electronic Blister Pack,Electronics,10,35.03,2,99.56,3.39,1.74
Kraft Paper,Medicine Box,Healthcare,4,13.6,10,88.97,1.0,0.554
Aluminum,Tablet Blister Pack,Healthcare,10,20.98,2,98.54,2.92,3.466
PLA Bioplastic,Mobile Box,Electronics,9,9.52,6,54.03,1.89,1.224
PLA Bioplastic,Cream Jar,Cosmetics,7,9.01,7,54.2,2.25,1.233
Aluminum,Food Tray,Food Packaging,8,30.21,1,99.99,3.97,3.542
Bagasse Fiber,Appliance Carton,Home Appliances,7,10.1,10,85.0,1.48,0.594
Kraft Paper,Perfume Bottle,Cosmetics,7,13.43,9,89.75,1.49,0.662
PLA Bioplastic,Clothing Box,Textiles,9,13.98,6,58.57,2.76,1.198
Recycled PET,Mobile Box,Electronics,10,25.17,3,91.33,3.06,2.079
Corrugated Cardboard,Cream Jar,Cosmetics,8,32.48,7,82.45,1.35,0.83
PLA Bioplastic,Syringe Pack,Healthcare,8,15.23,7,50.52,2.24,1.181
Mushroom Packaging,Spare Parts Box,Automotive,7,10.4,10,64.03,1.66,0.384
Aluminum,Laptop Box,Electronics,8,25.41,2,97.45,3.69,3.468
Mushroom Packaging,Appliance Carton,Home Appliances,7,13.44,10,72.45,1.29,0.383
Kraft Paper,Assembly Kit Box,Furniture,6,8.92,8,94.11,0.87,0.626
PLA Bioplastic,Beverage Bottle,Food Packaging,9,15.04,7,67.29,2.09,1.175
Mushroom Packaging,Takeaway Container,Food Packaging,7,13.9,9,75.78,1.72,0.439
Mushroom Packaging,Cosmetic Tube,Cosmetics,5,14.15,10,63.54,3.42,0.439
Bagasse Fiber,Cream Jar,Cosmetics,6,8.62,10,78.23,2.35,0.453
Recycled PET,Pizza Box,Food Packaging,10,25.46,2,94.39,3.31,2.113
PLA Bioplastic,Board Game Box,Toys,9,13.02,8,68.76,2.07,1.195
Aluminum,Hardware Container,Construction,8,31.9,2,95.0,5.11,3.451
Recycled PET,Takeaway Container,Food Packaging,8,26.37,3,85.71,1.83,2.069
Corrugated Cardboard,TV Carton,Electronics,7,33.05,7,83.25,1.69,0.875
PLA Bioplastic,Hardware Container,Construction,8,8.58,7,57.67,1.25,1.175
Kraft Paper,Clothing Box,Textiles,6,10.71,8,92.51,1.25,0.545
Aluminum,Appliance Carton,Home Appliances,9,22.7,2,97.36,3.33,3.512
Bagasse Fiber,Spare Parts Box,Automotive,7,6.86,8,76.85,2.29,0.53
Corrugated Cardboard,Cement Liner Bag,Construction,9,19.6,8,90.66,1.92,0.77
Corrugated Cardboard,Protective Cushioning Pack,Furniture,7,32.1,7,80.77,0.72,0.902
Aluminum,Board Game Box,Toys,9,29.48,2,95.42,3.89,3.485
Kraft Paper,Fabric Wrap,Textiles,4,12.18,9,94.8,1.48,0.682
Kraft Paper,TV Carton,Electronics,7,11.43,9,86.13,0.88,0.601
Aluminum,Foam Insert Package,Home Appliances,8,25.9,2,97.18,5.09,3.535
Mushroom Packaging,Assembly Kit Box,Furniture,6,10.56,9,64.0,2.55,0.39
Recycled PET,Electronic Blister Pack,Electronics,10,24.22,3,93.8,2.44,2.17
Recycled PET,Perfume Bottle,Cosmetics,8,24.29,2,89.35,2.21,2.023
Mushroom Packaging,Assembly Kit Box,Furniture,5,11.11,10,62.27,1.67,0.509
Aluminum,Appliance Carton,Home Appliances,8,30.9,1,95.32,4.79,3.516
Glass,Cosmetic Tube,Cosmetics,9,37.36,2,99.31,3.55,1.808
Bagasse Fiber,Furniture Carton,Furniture,7,13.32,8,80.96,1.67,0.488
Recycled PET,Clothing Box,Textiles,10,27.04,4,91.32,2.73,2.093
Aluminum,Medicine Box,Healthcare,8,31.28,1,96.62,4.23,3.535
Aluminum,Pizza Box,Food Packaging,8,28.84,2,95.16,5.1,3.506
Bagasse Fiber,Medicine Box,Healthcare,6,11.01,8,83.56,2.47,0.452
PLA Bioplastic,Tile Packaging,Construction,7,18.21,6,50.48,1.82,1.223
Kraft Paper,Perfume Bottle,Cosmetics,6,14.85,9,85.47,1.29,0.57
Glass,Board Game Box,Toys,10,23.26,2,97.3,5.06,1.8
Mushroom Packaging,Food Tray,Food Packaging,6,11.53,9,63.61,2.52,0.301
Recycled PET,Medicine Box,Healthcare,9,20.24,3,86.63,3.89,2.102
PLA Bioplastic,Battery Packaging,Automotive,7,15.11,8,57.95,1.4,1.12
Glass,Protective Box,Home Appliances,10,20.82,1,95.69,2.44,1.831
Kraft Paper,Garment Bag,Textiles,7,11.26,9,87.44,1.32,0.532
Bagasse Fiber,Protective Box,Home Appliances,5,13.11,8,78.77,1.55,0.534
Recycled PET,Cream Jar,Cosmetics,10,23.64,2,85.38,3.62,2.174
Mushroom Packaging,Cosmetic Tube,Cosmetics,6,13.5,9,77.59,3.25,0.474
PLA Bioplastic,Mobile Box,Electronics,8,19.87,6,67.77,1.12,1.196
Corrugated Cardboard,Perfume Bottle,Cosmetics,6,10.78,7,84.56,1.83,0.788
Kraft Paper,Laptop Box,Electronics,6,12.42,10,86.42,0.84,0.631
Glass,Foam Insert Package,Home Appliances,10,20.49,2,97.46,4.04,1.721
Recycled PET,Battery Packaging,Automotive,10,17.09,4,93.1,3.07,2.056
Bagasse Fiber,Board Game Box,Toys,6,14.82,8,78.33,2.37,0.477
Kraft Paper,Foam Insert Package,Home Appliances,5,7.21,8,88.11,0.32,0.562
Mushroom Packaging,Board Game Box,Toys,6,17.34,9,68.05,2.3,0.444
Mushroom Packaging,Clothing Box,Textiles,6,11.23,10,73.15,2.78,0.382
Corrugated Cardboard,Battery Packaging,Automotive,6,26.09,7,86.81,1.58,0.783
Aluminum,Action Figure Pack,Toys,9,30.74,1,96.97,4.58,3.617
Glass,Foam Insert Package,Home Appliances,10,38.76,2,98.16,2.54,1.834
Corrugated Cardboard,Syringe Pack,Healthcare,6,28.78,7,82.58,0.95,0.812
Aluminum,Protective Box,Home Appliances,10,27.83,2,99.28,3.58,3.588
Corrugated Cardboard,Cream Jar,Cosmetics,7,17.29,8,91.85,1.71,0.811
Recycled PET,Tablet Blister Pack,Healthcare,8,29.52,4,86.06,2.2,2.028
Corrugated Cardboard,Garment Bag,Textiles,8,22.63,8,83.07,0.82,0.75
Kraft Paper,Food Tray,Food Packaging,6,5.68,8,93.22,1.45,0.623
Kraft Paper,Cement Liner Bag,Construction,5,8.1,10,94.22,0.31,0.668
Bagasse Fiber,Cement Liner Bag,Construction,6,12.82,9,75.13,2.5,0.432
Mushroom Packaging,Appliance Carton,Home Appliances,5,15.25,9,67.25,2.76,0.38
Kraft Paper,Medical Container,Healthcare,5,7.82,8,90.59,1.29,0.597
Kraft Paper,Protective Box,Home Appliances,5,7.57,9,85.85,0.65,0.546
Bagasse Fiber,Protective Box,Home Appliances,5,7.58,10,79.63,0.82,0.466
Recycled PET,TV Carton,Electronics,9,20.44,3,92.1,3.34,2.097
Aluminum,Foam Insert Package,Home Appliances,10,33.03,2,96.96,5.0,3.442
Recycled PET,Perfume Bottle,Cosmetics,10,20.86,4,85.45,3.35,2.12
Corrugated Cardboard,Beverage Bottle,Food Packaging,6,29.46,9,85.15,0.71,0.848
PLA Bioplastic,Fabric Wrap,Textiles,9,16.41,7,69.96,2.51,1.165
Recycled PET,Electronic Blister Pack,Electronics,9,29.06,2,87.49,3.42,2.042
Mushroom Packaging,Electronic Blister Pack,Electronics,5,14.8,10,74.12,2.71,0.392
Corrugated Cardboard,Takeaway Container,Food Packaging,7,27.95,8,85.3,1.65,0.812
PLA Bioplastic,Fabric Wrap,Textiles,6,18.89,6,63.72,2.69,1.151
Mushroom Packaging,Protective Cushioning Pack,Furniture,5,9.12,9,68.23,2.61,0.394
Kraft Paper,Battery Packaging,Automotive,6,9.79,9,94.66,0.41,0.606
Glass,Protective Box,Home Appliances,10,38.54,2,97.92,3.95,1.739
Glass,Perfume Bottle,Cosmetics,9,25.05,2,96.63,2.31,1.901
PLA Bioplastic,Garment Bag,Textiles,6,15.64,6,69.76,1.82,1.237
Mushroom Packaging,Garment Bag,Textiles,5,11.0,10,71.28,2.14,0.328
Glass,Electronic Blister Pack,Electronics,9,38.19,2,98.96,2.26,1.91
Recycled PET,Electronic Blister Pack,Electronics,8,19.68,3,90.59,2.37,2.158
Recycled PET,Mobile Box,Electronics,10,24.42,3,90.37,1.78,2.168
Bagasse Fiber,Spare Parts Box,Automotive,7,11.69,10,74.03,2.17,0.551
Bagasse Fiber,Food Tray,Food Packaging,5,7.59,8,73.95,2.41,0.512
Glass,Cosmetic Tube,Cosmetics,9,31.86,2,97.14,2.29,1.8
Aluminum,Fabric Wrap,Textiles,9,34.71,1,98.49,5.37,3.452
Corrugated Cardboard,Food Tray,Food Packaging,6,14.49,8,82.91,1.28,0.819
Kraft Paper,Fabric Wrap,Textiles,7,6.52,10,91.08,0.66,0.593
Bagasse Fiber,Action Figure Pack,Toys,6,8.62,10,83.18,0.93,0.547
Kraft Paper,Cream Jar,Cosmetics,6,5.6,8,87.0,0.9,0.669
Glass,Food Tray,Food Packaging,10,27.8,1,97.99,5.18,1.778
Kraft Paper,Toy Box,Toys,4,7.36,8,91.93,1.15,0.643
Recycled PET,Furniture Carton,Furniture,10,26.23,4,94.23,1.63,2.171
Aluminum,Medical Container,Healthcare,9,31.73,2,97.82,2.72,3.485
Recycled PET,Cosmetic Tube,Cosmetics,9,27.38,3,91.29,2.51,2.114
Kraft Paper,Board Game Box,Toys,5,7.12,10,93.84,0.65,0.608
Bagasse Fiber,Beverage Bottle,Food Packaging,7,13.27,8,82.06,1.2,0.59
PLA Bioplastic,Garment Bag,Textiles,9,16.49,7,56.41,1.56,1.258
Recycled PET,Fabric Wrap,Textiles,8,28.55,3,91.74,3.51,2.14
Glass,Assembly Kit Box,Furniture,10,27.76,1,96.7,5.72,1.74
Glass,Makeup Box,Cosmetics,10,22.99,1,99.31,3.62,1.87
Mushroom Packaging,Perfume Bottle,Cosmetics,6,14.5,10,68.59,3.28,0.386
Kraft Paper,Perfume Bottle,Cosmetics,6,10.94,9,87.35,0.69,0.612
Bagasse Fiber,Assembly Kit Box,Furniture,6,12.36,9,70.34,1.61,0.508
Corrugated Cardboard,Mobile Box,Electronics,9,33.19,7,90.67,0.84,0.72
PLA Bioplastic,Oil Container,Automotive,6,15.45,8,56.9,2.28,1.241
Kraft Paper,Syringe Pack,Healthcare,4,5.16,8,91.66,1.47,0.598
Bagasse Fiber,Perfume Bottle,Cosmetics,6,14.85,9,78.75,1.83,0.489
Glass,Protective Box,Home Appliances,10,27.22,1,98.75,3.43,1.795
Corrugated Cardboard,Appliance Carton,Home Appliances,8,16.36,8,82.15,1.47,0.785
Bagasse Fiber,Medicine Box,Healthcare,7,9.72,9,70.38,1.01,0.475
Recycled PET,Spare Parts Box,Automotive,9,29.23,3,86.22,3.72,2.037
Mushroom Packaging,Battery Packaging,Automotive,6,15.35,10,66.9,2.36,0.405
Kraft Paper,Action Figure Pack,Toys,6,13.45,9,86.73,0.84,0.587
Mushroom Packaging,Oil Container,Automotive,6,17.74,10,74.02,2.55,0.312
Bagasse Fiber,Toy Box,Toys,7,13.81,10,73.58,1.86,0.431
Mushroom Packaging,Foam Insert Package,Home Appliances,5,17.0,10,72.16,1.37,0.359
Recycled PET,Tablet Blister Pack,Healthcare,9,29.51,4,92.65,3.21,2.049
Aluminum,TV Carton,Electronics,10,23.87,1,99.46,3.23,3.462
PLA Bioplastic,Perfume Bottle,Cosmetics,6,13.33,6,55.82,2.43,1.192
Recycled PET,Appliance Carton,Home Appliances,8,19.51,4,94.25,3.56,2.105
Bagasse Fiber,Battery Packaging,Automotive,6,7.41,8,74.9,2.17,0.51
Mushroom Packaging,Action Figure Pack,Toys,7,16.47,10,74.37,2.47,0.402
Kraft Paper,Clothing Box,Textiles,7,12.53,9,91.74,0.92,0.723
Mushroom Packaging,Battery Packaging,Automotive,5,11.81,10,74.59,1.53,0.336
Glass,Assembly Kit Box,Furniture,10,27.56,2,95.08,5.1,1.796
Corrugated Cardboard,Assembly Kit Box,Furniture,7,32.29,9,89.48,0.91,0.691
Bagasse Fiber,Hardware Container,Construction,6,9.42,10,84.49,1.64,0.536
Bagasse Fiber,Cement Liner Bag,Construction,7,6.67,10,78.71,1.28,0.495
Bagasse Fiber,Clothing Box,Textiles,7,12.06,9,77.39,1.03,0.513
PLA Bioplastic,Protective Box,Home Appliances,7,15.34,7,61.45,2.26,1.24
Bagasse Fiber,Protective Box,Home Appliances,5,11.18,9,77.07,0.89,0.504
Glass,Makeup Box,Cosmetics,9,29.62,2,95.61,4.99,1.784
Recycled PET,Pizza Box,Food Packaging,10,19.12,4,91.32,2.29,2.022
PLA Bioplastic,Board Game Box,Toys,9,19.54,8,66.16,1.0,1.213
PLA Bioplastic,Clothing Box,Textiles,7,8.21,8,57.65,2.02,1.161
Aluminum,Makeup Box,Cosmetics,9,26.36,2,98.26,2.64,3.514
Aluminum,Clothing Box,Textiles,8,24.87,2,95.8,3.33,3.579
Corrugated Cardboard,TV Carton,Electronics,7,34.09,7,84.83,1.56,0.783
PLA Bioplastic,Board Game Box,Toys,6,17.16,7,60.19,1.13,1.209
Glass,Toy Box,Toys,10,30.48,2,99.98,5.36,1.794
Glass,Toy Box,Toys,10,34.89,1,95.77,2.02,1.776
Aluminum,Spare Parts Box,Automotive,8,27.86,2,98.33,3.24,3.52
Corrugated Cardboard,Toy Box,Toys,7,31.22,9,83.25,1.61,0.893
Corrugated Cardboard,Action Figure Pack,Toys,6,19.5,7,84.59,0.97,0.921
Corrugated Cardboard,Perfume Bottle,Cosmetics,6,29.35,9,80.54,0.65,0.825
PLA Bioplastic,Board Game Box,Toys,8,10.58,8,53.76,1.72,1.139
Mushroom Packaging,Fabric Wrap,Textiles,6,12.68,9,64.64,1.82,0.428
Glass,Cement Liner Bag,Construction,10,26.72,1,98.37,5.37,1.888
Recycled PET,TV Carton,Electronics,8,18.84,4,94.03,2.28,2.132
Glass,Food Tray,Food Packaging,9,29.84,1,97.25,5.16,1.779
Glass,Appliance Carton,Home Appliances,9,20.44,1,96.98,5.57,1.837
Corrugated Cardboard,Tile Packaging,Construction,6,11.9,9,90.84,1.15,0.821
Kraft Paper,Oil Container,Automotive,4,9.98,8,93.61,1.39,0.636
Recycled PET,Hardware Container,Construction,8,15.46,4,91.05,2.44,2.103
Aluminum,Food Tray,Food Packaging,9,30.3,1,96.08,5.39,3.64
PLA Bioplastic,Makeup Box,Cosmetics,8,9.75,7,60.45,1.18,1.27
Kraft Paper,Protective Box,Home Appliances,5,12.92,10,88.49,1.12,0.633
Glass,Tablet Blister Pack,Healthcare,9,34.98,1,99.78,3.98,1.799
Aluminum,Foam Insert Package,Home Appliances,8,28.27,2,95.42,3.66,3.568
Recycled PET,Appliance Carton,Home Appliances,10,22.76,4,89.91,3.08,2.166
Mushroom Packaging,Foam Insert Package,Home Appliances,6,10.35,9,75.65,2.82,0.514
Corrugated Cardboard,Board Game Box,Toys,9,22.04,8,82.47,0.51,0.749
PLA Bioplastic,Hardware Container,Construction,6,10.5,8,51.53,1.33,1.149
Bagasse Fiber,Board Game Box,Toys,6,11.45,9,77.4,2.01,0.458
PLA Bioplastic,Tile Packaging,Construction,6,19.12,8,55.32,2.33,1.259
Mushroom Packaging,Perfume Bottle,Cosmetics,7,11.14,10,78.42,3.42,0.431
Glass,Oil Container,Automotive,10,20.95,2,97.53,5.04,1.735
Bagasse Fiber,Electronic Blister Pack,Electronics,5,14.11,8,83.75,2.42,0.548
Aluminum,Fabric Wrap,Textiles,9,26.44,1,99.53,4.61,3.518
Glass,Cement Liner Bag,Construction,9,36.71,2,99.04,3.19,1.772
PLA Bioplastic,Makeup Box,Cosmetics,7,13.87,6,62.68,1.21,1.226
